,encrypted_customerID,total_units,total_revenue,total_units_ttm,total_revenue_ttm,adj_units_yearly_ever,adj_revenue_yearlu_ever,adj_units_yearly_before_ttm,adj_revenue_yearly_before_ttm,which_promo,engagement,what_content_age,what_content_type,asp_ever,asp_ttm,arpu_monthly_ever,arpu_monthly_ttm,frequency_days_ever,frequency_days_ttm,hidden_class,tenure_months,target
0,AQ1P9CWR1YZPA,2,4.18,0,0.0,1,2.78,1,2.78,non_promo_user,moderate,exclusively_CAT,exclusively_movie_vod,2.09,0.0,0.23,0.0,81,0,hidden_committed,18.0,0
1,AXV95B037L17N,13,59.03,6,33.24,3,16.86,1,7.36,non_promo_user,moderate,exclusively_CAT,predominantly_tv,4.54,5.54,1.4,2.77,104,37,inept,42.0,1
2,AO9DLAD4HG297,63,254.34,6,40.27,15,61.04,13,51.37,non_promo_user,moderate,exclusively_CAT,predominantly_movie_est,4.03,6.71,5.08,3.35,22,41,hidden_committed,50.0,1
3,A1JKOKWLSRTFD6,14,43.51,0,0.0,3,11.1,3,11.1,non_promo_user,engaged,predominantly_CAT,predominantly_movie_vod,3.1,0.0,0.92,0.0,79,0,benevolent,47.0,0
4,AKO0QNCAQU180,136,668.29,80,364.11,54,267.31,22,121.67,engaged_pmd,engaged,exclusively_CAT,predominantly_movie_est,4.91,4.55,22.27,30.34,6,4,hidden_committed,30.0,1
5,A3OVH9JHYZGEPZ,3,36.64,2,32.48,1,17.58,0,1.99,non_promo_user,moderate,exclusively_CAT,predominantly_tv,12.21,16.24,1.46,2.7,314,208,inept,25.0,1
6,AMVXU51OE2HIY,4,3.32,0,0.0,0,0.79,0,0.79,exclusively_pmd,moderate,exclusively_CAT,exclusively_movie_vod,0.83,0.0,0.06,0.0,0,0,inept,50.0,0
7,A16VSNROLRHLZ1,1,3.35,0,0.0,0,2.67,0,2.67,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,3.35,0.0,0.22,0.0,0,0,inept,15.0,0
8,A1AEVC9FUGKHSH,1,3.32,0,0.0,0,3.31,12,39.84,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,3.32,0.0,0.27,0.0,0,0,inept,12.0,0
9,A3R3FTH69Q9ORI,5,17.59,2,5.86,1,4.05,0,2.7,non_promo_user,moderate,exclusively_CAT,exclusively_movie_vod,3.51,2.93,0.33,0.48,384,29,inept,52.0,1
10,A2YQ2AVMWXLFBH,40,386.57,33,347.13,9,92.77,1,9.46,non_promo_user,engaged,predominantly_CAT,predominantly_tv,9.66,10.51,7.73,28.92,38,10,inept,50.0,1
11,A3OQV0Y517BD7Z,3,10.05,1,3.35,1,4.02,0,2.67,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,3.35,3.35,0.33,0.27,330,0,inept,30.0,0
12,A5U716OPLB4L8,1,3.35,0,0.0,0,2.67,0,2.67,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,3.35,0.0,0.22,0.0,0,0,inept,15.0,0
13,A1ZBNJ2YV9DXHN,3,6.69,0,0.0,0,1.63,0,1.63,non_promo_user,moderate,exclusively_CAT,exclusively_tv,2.23,0.0,0.13,0.0,129,0,inept,49.0,0
14,A310RLZEIV3NE2,117,290.25,36,86.56,28,71.08,19,49.88,non_promo_user,engaged,predominantly_CAT,predominantly_movie_vod,2.48,2.4,5.92,7.21,12,9,benevolent,49.0,1
15,A2OCKRX9I3NW06,10,31.82,7,21.77,6,20.09,1,6.34,engaged_pmd,moderate,predominantly_CAT,exclusively_movie_vod,3.18,3.11,1.67,1.81,57,52,inept,19.0,1
16,A1946T395MXXDH,1,6.72,0,0.0,0,1.79,0,1.79,non_promo_user,one_time,exclusively_CAT,exclusively_movie_est,6.72,0.0,0.14,0.0,0,0,inept,45.0,0
17,A2QEBTDWGJH77H,7,24.71,0,0.0,1,6.44,1,6.44,non_promo_user,moderate,predominantly_NR,predominantly_movie_vod,3.53,0.0,0.53,0.0,119,0,hidden_committed,46.0,0
18,A1SDG6OTUVIVYI,7,44.47,7,44.47,84,533.64,0,0.0,engaged_vendisto_promo,moderate,exclusively_CAT,predominantly_movie_est,6.35,6.35,44.47,44.47,2,2,inept,1.0,1
19,A1FV7CIX9B17ZF,17,79.63,13,65.39,8,39.81,1,7.11,non_promo_user,engaged,predominantly_CAT,predominantly_movie_est,4.68,5.03,3.31,5.44,44,28,inept,24.0,1
20,A1ZUVBEADEW2TR,17,59.44,11,40.2,3,12.29,1,3.98,engaged_vendisto_promo,moderate,exclusively_CAT,predominantly_movie_vod,3.49,3.65,1.02,3.35,109,27,inept,58.0,1
21,A35OE800UICF9D,13,123.01,1,4.19,7,67.09,6,64.81,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,9.46,4.19,5.59,0.34,55,0,hidden_committed,22.0,1
