,encrypted_customerID,total_units,total_revenue,total_units_ttm,total_revenue_ttm,adj_units_yearly_ever,adj_revenue_yearlu_ever,adj_units_yearly_before_ttm,adj_revenue_yearly_before_ttm,which_promo,engagement,what_content_age,what_content_type,asp_ever,asp_ttm,arpu_monthly_ever,arpu_monthly_ttm,frequency_days_ever,frequency_days_ttm,hidden_class,tenure_months,target
0,A2GMX5T2DZRSF7,1,0.82,1,0.82,1,1.23,0,0.0,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,0.82,0.82,0.1,0.1,0,0,inept,8.0,0
1,AQRAHLBPDBZ1Y,3,9.48,0,0.0,0,1.67,0,1.67,non_promo_user,moderate,predominantly_NR,predominantly_movie_est,3.16,0.0,0.13,0.0,87,0,inept,68.0,0
2,ARDWGB5C81WCO,1,0.82,1,0.82,1,1.09,0,0.0,non_promo_user,one_time,exclusively_CAT,exclusively_tv,0.82,0.82,0.09,0.09,0,0,inept,9.0,0
3,AJ9WP71ARK0VN,4,4.79,4,4.79,4,5.22,0,0.0,engaged_vendisto_promo,moderate,exclusively_CAT,exclusively_tv,1.19,1.19,0.43,0.43,16,16,inept,11.0,0
4,AIP4X46PJ7EBE,149,1015.81,24,175.2,35,239.01,29,197.79,non_promo_user,engaged,predominantly_NR,predominantly_movie_est,6.81,7.3,19.91,14.6,10,14,hidden_committed,51.0,1
5,A2IK1D2ZZ4X0KH,2,13.73,1,2.07,0,4.7,0,3.99,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,6.86,2.07,0.39,0.17,1031,0,inept,35.0,1
6,A10G03TEF09RVI,2,32.48,0,0.0,1,16.94,1,16.94,non_promo_user,moderate,exclusively_CAT,exclusively_tv,16.24,0.0,1.41,0.0,22,0,hidden_committed,23.0,0
7,AS82YACKCCY62,14,40.58,1,2.07,2,6.76,2,6.41,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,2.89,2.07,0.56,0.17,145,0,benevolent,72.0,0
8,A1HHIX4HE9PR3Y,239,1358.94,2,18.73,53,301.98,52,297.82,non_promo_user,moderate,exclusively_CAT,exclusively_movie_est,5.68,9.36,25.16,1.56,6,0,hidden_committed,54.0,1
9,A1VYB2UBOO7ND4,23,107.17,16,79.43,5,25.72,1,6.65,engaged_pmd,engaged,predominantly_NR,predominantly_movie_est,4.65,4.96,2.14,6.61,67,21,inept,50.0,1
10,A2GFPLP55IQ9IE,1,9.99,0,0.0,0,4.99,0,4.99,non_promo_user,one_time,exclusively_CAT,exclusively_tv,9.99,0.0,0.41,0.0,0,0,inept,24.0,0
11,A2A4TGG6674HDM,11,53.6,2,7.07,2,11.48,1,9.96,non_promo_user,moderate,exclusively_CAT,exclusively_movie_vod,4.87,3.53,0.95,0.58,170,4,inept,56.0,1
12,AZCS4COTDROR6,5,20.38,2,6.23,1,8.15,1,5.65,non_promo_user,moderate,exclusively_CAT,predominantly_tv,4.07,3.11,0.67,0.51,204,163,inept,30.0,1
13,AUNTTKKFRW52R,2,7.48,1,3.74,0,2.99,0,1.49,non_promo_user,one_time,predominantly_NR,exclusively_movie_vod,3.74,3.74,0.24,0.31,679,0,inept,30.0,0
